products_export_1
Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
mielle-pomegranate-honey-curl-define-mousse-7-5-oz-2,Mielle Pomegranate & Honey Curl Define Mousse 7.5 oz,,My Store,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Mousse,AEB,TRUE,Title,Default Title,,,,,,,,,0.0,,continue,manual,21.63,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/original_56f9526d-9650-4d39-b61c-913d6cc0cd64.jpg?v=1732671381,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,lb,,19.47,TRUE,,,active
mielle-pomegranate-and-honey-moisturizing-and-detangling-shampoo-12-oz-1,Mielle Pomegranate and Honey Moisturizing and Detangling Shampoo 12 oz,,My Store,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo,Shampoo & Conditioner,AEB,TRUE,Title,Default Title,,,,,,,,,0.0,,continue,manual,22.85,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/original_b194b825-2ba2-4dee-9fa5-ea3c0d7ef048.jpg?v=1732671450,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,lb,,20.56,TRUE,,,active
mielle-pomegranate-and-honey-moisturizing-and-detangling-conditioner-12-oz-1,Mielle Pomegranate and Honey Moisturizing and Detangling Conditioner 12 oz,,My Store,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Shampoo & Conditioner,AEB,TRUE,Title,Default Title,,,,,,,,,0.0,,continue,manual,22.85,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/download_23bb6942-cddb-4f60-a01d-f90f1ea6c274.jpg?v=1733726527,1,,FALSE,,,1901,,,,,,,,,,,,,,,,,,,,lb,,20.56,TRUE,,,active
mielle-organics-pomegranate-honey-curl-smoothie-12-oz,Mielle Organics Pomegranate & Honey Curl Smoothie 12 oz,,My Store,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Grease & Creams,AEB,TRUE,Title,Default Title,,,,,,,,,0.0,,continue,manual,21.64,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/download_ff1df620-c0f4-4181-901c-2dc76d1566c6.jpg?v=1733726336,1,,FALSE,,,1901,,,,,,,,,,,,,,,,,,,,lb,,19.47,TRUE,,,active
mielle-pomegranate-honey-twisting-souffle-12-oz-2,Mielle Pomegranate & Honey Twisting Souffle 12 oz,,My Store,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Gel & Jams,AEB,TRUE,Title,Default Title,,,,,,,,'5308632,0.0,,continue,manual,21.64,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/c4f741cf-original.jpg?v=1732602688,1,,FALSE,,,1901,,,,,,,,,,,,,,,,,,,,lb,,19.47,TRUE,,,active
mielle-pomegranate-and-honey-coil-sculpting-custard-12-oz-1,Mielle Pomegranate and Honey Coil Sculpting Custard 12 oz,,My Store,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Grease & Creams,AEB,TRUE,Title,Default Title,,,,,,,,300095V,0.0,,continue,manual,19.23,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/b8b1c510-original.jpg?v=1732602688,1,,FALSE,,,1901,,,,,,,,,,,,,,,,,,,,lb,,17.31,TRUE,,,active
empire-bulk-deep-bulk-18-color-2,Empire Bulk Deep Bulk,,My Store,Apparel & Accessories > Clothing Accessories > Hair Accessories > Hair Extensions,Braiding Hair,AEB,TRUE,color,1,,length,14,,,,,,0.0,,continue,manual,37.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/download_893e3005-8fda-4471-9189-00e799dcd386.jpg?v=1733727408,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,lb,,32.46,TRUE,,,active
empire-bulk-deep-bulk-18-color-2,,,,,,,,,1,,,18,,,,,,0.0,,continue,manual,79.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,70.35,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,1,,,22,,,,,,0.0,,continue,manual,103.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,92.00,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,2,,,14,,,,,,0.0,,continue,manual,37.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,32.46,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,2,,,18,,,,,,0.0,,continue,manual,80.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,71.43,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,2,,,22,,,,,,0.0,,continue,manual,103.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,92.00,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,1B,,,14,,,,,,0.0,,continue,manual,37.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,32.46,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,1B,,,18,,,,,,0.0,,continue,manual,79.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,70.35,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,1B,,,22,,,,,,0.0,,continue,manual,103.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,92.00,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,27,,,14,,,,,,0.0,,continue,manual,38.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,32.46,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,27,,,18,,,,,,0.0,,continue,manual,91.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,81.18,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,27,,,22,,,,,,0.0,,continue,manual,115.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,102.83,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,30,,,14,,,,,,0.0,,continue,manual,37.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,32.46,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,30,,,18,,,,,,0.0,,continue,manual,79.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,70.35,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,30,,,22,,,,,,0.0,,continue,manual,103.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,92.00,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,350,,,14,,,,,,0.0,,continue,manual,37.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,32.46,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,350,,,18,,,,,,0.0,,continue,manual,85.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,75.76,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,350,,,22,,,,,,0.0,,continue,manual,109.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,97.41,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,BG,,,14,,,,,,0.0,,continue,manual,37.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,32.46,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,BG,,,18,,,,,,0.0,,continue,manual,85.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,75.76,,,,
empire-bulk-deep-bulk-18-color-2,,,,,,,,,BG,,,22,,,,,,0.0,,continue,manual,109.00,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,97.41,,,,
red-power-wave-silky-satin-durag-3,RED Power Wave Silky Satin Durag,,My Store,Uncategorized,Bonnets & Scarfs,AEB,TRUE,Title,Default Title,,,,,,,,B516203,0.0,,continue,manual,6.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/fe41f68a-original.jpg?v=1732602689,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,lb,,5.40,TRUE,,,active
kiss-i-envy-luxury-mink-3d-eyelashes-1,Kiss i•ENVY Luxury Mink 3D Eyelashes,,BEAUTY FETCH,Health & Beauty > Personal Care > Cosmetics > Makeup > Eye Makeup > False Eyelashes,Eye Lashes,AEB,TRUE,Style,KMIN01,,,,,,,,,0.0,,continue,manual,8.41,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin05.webp?v=1737346936,1,,FALSE,,,2761,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin01.webp?v=1737347022,lb,,7.57,TRUE,,,active
kiss-i-envy-luxury-mink-3d-eyelashes-1,,,,,,,,,KMIN02,,,,,,,,,0.0,,continue,manual,8.41,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin01.webp?v=1737347022,2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin02.webp?v=1737347026,lb,,7.57,,,,
kiss-i-envy-luxury-mink-3d-eyelashes-1,,,,,,,,,KMIN03,,,,,,,,,0.0,,continue,manual,8.41,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin02.webp?v=1737347026,3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin03.webp?v=1737347030,lb,,7.57,,,,
kiss-i-envy-luxury-mink-3d-eyelashes-1,,,,,,,,,KMIN05,,,,,,,,,0.0,,continue,manual,8.41,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin03.webp?v=1737347030,4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin05_f8be8aa2-cda7-4b22-ae47-f1a13ab22028.webp?v=1737347042,lb,,7.57,,,,
kiss-i-envy-luxury-mink-3d-eyelashes-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin04.webp?v=1737347037,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
